年份,第几周,部门,"本周
新开户",本月新开户,"本月新增
有效户",本年新开户,"本年新增
有效户","本周
新增市值","本月
新增市值",本年新增市值,"本周
新开两融户","本月
新开两融户","本年
新开两融户","资产
总量（亿）","两融余额
（万）",本周净佣金收入（万）,本月净佣金收入（万）,本年净佣金收入（万）,本周净佣金收入（万）,本月净佣金收入（万）,本年净佣金收入（万）
2023,17,经纪人,10,26,16,73,43,58.20431,234.65905,533.308485,1,1,1,9.55811187,4032.676256,,,,7.015354,30.733331,109.960715
2023,17,财富中心,0,8,7,51,36,31.5659,615.83023,2241.450555,0,0,7,6.87410544,2572.986411,2.795641,12.693686,48.675414,3.087328,14.773939,59.369553
2023,17,北京方庄,3,13,6,904,38,110.6865,288.58296,527.56965,0,0,1,2.34641364,396.535074,,,,2.296608,9.591169,30.156793
2023,19,天津分公司,3,3,7,185,57,116.70977,116.70977,1415.061749,0,0,7,2.55858944,1664.851712,,,,2.72639,2.72639,38.16599
2023,19,事业中心,9,9,7,78,47,1028.61419,1028.61419,2021.709212,0,0,4,2.34074385,1220.704048,7.447243,7.447243,112.527975,8.12489,8.12489,125.409354
2023,19,经纪人,6,6,1,79,44,43.08993,43.08993,511.45028,0,0,1,10.58079903,4009.742217,,,,10.166506,10.166506,120.127221
2023,19,财富中心,3,3,3,53,38,265.2573,265.2573,2158.488398,0,0,7,6.75340562,2502.733832,4.687965,4.687965,53.30128,5.13663,5.13663,64.444084
2023,19,北京方庄,29,29,3,933,41,15.307258,15.307258,221.6618,0,0,1,2.27098385,466.736717,,,,3.78582,3.78582,33.942613
2023,20,天津分公司,2,5,8,187,58,140.51704,257.22681,1366.883601,0,0,7,2.56488026,1672.777849,-,-,-,1.741916,4.468306,39.907906
2023,20,事业中心,3,12,12,81,52,98.05247,1126.66666,2368.79167,0,0,4,2.29878536,1276.108394,6.507106,13.954349,119.035081,6.992173,15.117063,132.401527
2023,20,经纪人,0,6,5,79,48,50.07864,93.16857,531.052805,0,0,1,10.32695009,3973.065067,-,-,-,5.467869,15.634375,125.59509
2023,20,财富中心,1,4,4,54,39,40.6713,305.9286,2298.770156,0,0,7,6.80438684,2469.319766,4.559086,9.247051,57.860366,4.725744,9.862374,69.169828
2023,20,北京方庄,10,39,3,943,41,4.341942,19.6492,209.0736,0,0,1,2.28818206,462.672797,-,-,-,2.372602,6.158422,36.315215
2023,21,天津分公司,2,7,8,189,58,35.67396,292.90077,1406.621883,0,0,7,2.51628888,1662.802468,,,,1.688501,6.156807,41.596407
2023,21,事业中心,3,15,13,84,53,258.096511,1384.763171,2566.316007,0,0,4,2.36801453,1334.559991,4.326263,18.280612,123.361344,4.828057,19.94512,137.229584
2023,21,经纪人,2,8,7,81,50,6.15909,99.32766,514.930625,0,0,1,12.93675174,3966.116958,,,,5.317399,20.951774,130.912489
2023,21,财富中心,2,6,5,56,40,58.1473,364.0759,2317.375307,0,0,7,6.74106126,2560.917919,4.216407,13.463458,62.076773,4.413709,14.276083,73.583537
2023,21,北京方庄,6,45,4,949,42,8.7014,28.3506,210.5794,0,0,1,2.26987565,399.67495,,,,2.665569,8.823991,38.980784
2023,22,天津分公司,2,9,11,191,61,58.41783,351.3186,1441.751519,0,0,7,2.51637128,1656.798275,,,,1.00327,7.160077,42.599677
2023,22,事业中心,1,17,15,86,55,194.416739,1579.17991,2723.10182,0,0,4,2.36818628,1240.890977,9.558873,27.839485,132.920217,9.796954,29.742074,147.026538
2023,22,经纪人,1,9,9,82,52,103.09303,202.42069,621.892635,0,0,1,13.0582233,3794.158906,,,,3.110792,24.062566,134.023281
2023,22,财富中心,1,7,6,57,41,12.3943,376.4702,2283.767314,0,0,7,6.73051615,2529.014792,1.787751,15.251209,63.864524,1.982427,16.25851,75.565964
2023,22,北京方庄,10,55,4,959,42,2.3248,30.6754,188.369459,0,0,1,2.26403473,472.504032,,,,0.960693,9.784684,39.941477
2023,23,天津分公司,1,1,0,192,61,66.66432,66.66432,1281.679135,0,0,7,2.49335534,1618.864189,,,,2.465802,2.465802,45.065479
2023,23,事业中心,8,8,2,89,56,371.949097,371.949097,2053.793352,0,0,4,2.3947935,1146.510592,6.685681,6.685681,139.59759,7.296769,7.296769,154.314999
2023,23,经纪人,1,1,1,83,53,34.5962,34.5962,485.03933,0,0,1,12.68859371,4072.060875,,,,9.587082,9.587082,143.610363
2023,23,财富中心,5,5,1,62,42,130.473677,130.473677,2365.774936,0,0,7,6.79435179,3170.755107,3.778532,3.778532,67.643056,4.470943,4.470943,80.036907
2023,23,北京方庄,10,10,1,968,41,12.6801,12.6801,173.5192,0,0,1,2.20301799,467.047846,,,,2.625611,2.625611,41.456737
2023,24,天津分公司,2,3,0,194,61,9.52516,76.18948,1273.363118,0,0,7,2.53171522,1576.550559,-,-,-,1.81462,4.280422,46.880099
2023,24,事业中心,5,13,5,94,59,685.159474,1057.108571,2742.125725,0,0,4,2.46041479,1091.80238,5.800826,12.486507,145.398416,6.753595,14.050364,161.068594
2023,24,经纪人,1,2,3,84,55,38.62596,73.22216,602.83684,0,0,1,12.66082966,4183.937347,-,-,-,7.922971,17.509634,151.530739
2023,24,财富中心,4,9,4,66,45,56.140243,186.61392,2328.90766,0,0,7,6.95753149,3413.326481,3.752206,7.530738,71.395262,4.176549,8.647492,84.213456
2023,24,北京方庄,9,19,3,977,43,6.312425,18.992525,150.44295,0,0,1,2.22384273,432.155718,-,-,-,1.798896,4.424507,43.255633
2023,25,天津分公司,1,4,1,195,62,18.14433,94.33381,1327.160386,0,0,7,2.47431722,1603.942729,-,-,-,1.023903,5.304325,47.904002
2023,25,事业中心,3,16,6,97,60,158.913841,1216.022412,2705.905026,0,0,4,2.38480034,1009.61345,3.587272,16.073779,148.985688,4.074519,18.124883,165.143113
2023,25,经纪人,0,2,3,84,55,67.69109,140.91325,566.93858,0,0,1,13.12211627,4226.803684,-,-,-,4.459562,21.969196,155.990301
2023,25,财富中心,2,11,6,68,47,121.521056,308.134976,2520.969031,0,0,7,6.7426811,3282.925367,2.527052,10.05779,73.922314,2.69196,11.339452,86.905416
